"N","Timestamp","Pais","Código de participante","Ud es:","1. Entregaría recomendaciones de higiene oral a pacientes adultos","2. Entregaría recomendaciones de higiene oral a pacientes adultos","3. ¿Le entregaría recomendación de higiene oral a CADA paciente adulto?","4. ¿Cuánto tiempo dedicaría dando recomendaciones de higiene oral?","5. ¿Cómo entregaría sus consejos en higiene oral?","6. ¿Recomendaría enjuague bucal fluoridado como parte de una rutina diaria de higiene oral?","7. ¿Recomendaría el cepillado dental a todos los pacientes adultos?","8.a) Cuando recomienda el cepillado dental, ¿recomendaría usted un tipo de cepillo?","8.b) Cuando recomienda el cepillado dental, ¿recomendaría usted tamaño de la cabeza del cepillo?","8.c) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cambiar el cepillo de dientes?","8.d) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cepillar diariamente?","8.e) Cuando recomienda el cepillado dental, ¿cuánto tiempo recomendaría usted para cepillar?","8.f) Cuando recomienda el cepillado dental, ¿recomendaría usted una técnica de cepillado?","9. ¿Recomendaría el uso de pasta dental a todos los pacientes adultos?","10.a) Cuando recomienda pasta dental, ¿recomendaría usted un tipo de pasta dental?","10.b) Cuando recomienda pasta dental, ¿cual concentración de pasta dental recomendaría?","10.c) Cuando recomienda pasta dental, ¿cuanta cantidad de pasta de dientes a utilizar cada vez?","10.d) Cuando recomienda pasta dental, ¿que tipo de enjuage recomendaría?","11. ¿Recomendaría limpieza interdental a todos los pacientes adultos?","12.a) Cuando recomienda la limpieza interdental, ¿recomendaría un tipo de dispositivo interdental?","12.b) Cuando recomienda la limpieza interdental, ¿cada cuanto recomienda utilizarlo?","12.c) Cuando recomienda la limpieza interdental, ¿demostraría una técnica ?","Año de egreso de pregrado:","gadi kops beigsanas","Año egreso higienistas","Curso actual","Curso higienistas"," 13. La higiene oral juega un rol causal en muchas enfermedades orales."," 14. La persona promedio de mi país tiene buena salud oral."," 15. Modificaciones a la higiene oral pueden prevenir muchas enfermedades oral."," 16. La profilaxis profesional no tiene efecto sobre la salud oral de los individuos."," 17. Los dentistas no dan suficientes recomendaciones sobre higiene oral a sus pacientes."," 18. El personal dental (dentistas y auxiliares) desempeñan el mismo rol en brindar consejos de higiene oral a los pacientes."," 19. Consejos de salud bucal contradictorios pueden tener un efecto negativo en el comportamiento, la motivación y las actitudes de un individuo."," 20. La eliminación de las contradicciones en los mensajes de salud oral puede tener efectos positivos sobre la salud oral de los chilenos."," 21. Existen contradicciones entre los mensajes de salud oral entregados por  dentistas y personal auxiliar odontológico."," 22. Mejores consejos preventivos de profesionales de la odontología puede tener efectos positivos significativos sobre la salud de las personas.","23. En promedio, ¿cuantas clases, prácticos, conferencias, seminarios o tutorías ha tenido en consejos de higiene oral para los pacientes?","24. ¿Siente que ha tenido suficiente formación en este aspecto de la atención al paciente y la prevención de enfermedades?","25. En su opinión ¿qué formación adicional siente que es necesaria?","26. ¿Se siente seguro/a en la actualidad entregando recomendaciones de higiene oral a pacientes adultos?","27. ¿ Se siente seguro/a en la actualidad de ser capaz de modificar la higiene oral aconsejando a una persona?","28. Si su respuesta es “No” a las preguntas 26. y 27  ¿por qué?","Comentarios de respondente"
1,"9/15/2014 0:39:37","Chile","31D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","10 minutos o más","Demostraciones","Si","Si","manual","pequeño","no recomendaría",3,3,"Barrido","Si","con fluor","1000-1500","menos que tamaño arveja","enjuagar la pasta de dientes con agua","Si","hilo dental","2 veces al día","Si",1987,27,,,,"Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/15/2014 0:42:29","Chile","30D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones","Si","Si","no recomendaría","medio","3 meses",3,"no recomendaría","Barrido","Si","con fluor","1000-1500","no recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","No",2011,3,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","10-19","Si",,"Si","Si",,
1,"9/15/2014 1:01:23","Chile","21D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Demostraciones","No","Si","manual","medio","1-3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","tamaño arveja ","no recomendaría","Si","ambos","con cada cepillado ","No",2003,11,,,,"De acuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","20 y más","Si","Demostraciones prácticas","Si","Si",,
1,"9/15/2014 1:21:48","Chile","11D","Dentista","en respuesta a una solicitud hecha para un consejo de higiene oral","ocasionalmente","No","1-2 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","Si","Si","manual","medio","1-3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","menos que tamaño arveja","enjuagar la pasta de dientes con agua","Si","ambos","2 veces al día","Si",2002,12,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas","Si","Si",,
1,"9/15/2014 1:28:18","Chile","9D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","1-2 minutos","Comunicación verbal","No","Si","manual","pequeño","1-3 meses",3,3,"Barrido","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","Si",2006,8,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 1:36:23","Chile","4D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","1-3 meses","no recomendaría",1,"Barrido","Si","con fluor",2500,"menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","ambos","con cada cepillado ","No",2003,11,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","20 y más","Si","Demostraciones prácticas","Si","Si",,
1,"9/15/2014 1:38:05","Chile","3D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","1-3 meses","no recomendaría",1,"Barrido","Si","con fluor",2000,"tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","con cada cepillado ","Si",2003,11,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","20 y más","Si","Demostraciones prácticas","Si","Si",,
1,"9/8/2014 12:52:50","Chile","195E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal","No","Si","manual","medio","3 meses",3,3,"Barrido o Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","Si",,,,6,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","10-19","Si","Demostraciones prácticas","Si","Si",,
1,"8/29/2014 15:09:35","Chile","89D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","8 minutos","Comunicación verbal, Demostraciones, Vídeos","No","Si","manual","medio","no recomendaría",3,"no recomendaría","Bass","Si","con fluor",5000,"tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","No","ambos","1 vez al día","Si",2013,1,,,,"En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","20 y más","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/1/2014 10:35:00","Chile","95E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","medio","3 meses",3,"3-5","Bass","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","Si",,,,5,,"Muy de acuerdo","En desacuerdo","Muy en desacuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","No","Si",,
1,"9/8/2014 10:41:00","Chile","89E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","1-3 meses",3,"3-5","Bass","Si","con fluor","no recomendaría","no recomendaría","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","1 vez al día","No",,,,5,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","Muy de acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/8/2014 14:20:51","Chile","196E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","Si","8 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","medio","3 meses",3,"3-5","Bass","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","Si",,,,6,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas","Si","Si",,
1,"9/8/2014 14:47:55","Chile","206E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","No","10 minutos o más","Vídeos","No","Si","manual","no recomendaría","no recomendaría","no recomendaría","3-5","Bass","Si","no recomendaría","no recomendaría","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","Al menos 1 vez cada dos días","Si",,,,6,,"De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","10-19","Si","Experiencia con pacientes propios","Si","No","Falta de conocimiento, Falta de experiencia",
1,"9/8/2014 14:56:13","Chile","35E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Vídeos","No","No","manual","pequeño","1-3 meses",3,"5 - 10","Bass","Si","con fluor",2500,"no recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","3 veces al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","5-9","No","Experiencia con pacientes propios","Si","No","falta de compromiso del paciente",
1,"9/8/2014 15:12:38","Chile","94D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","1-2 minutos","Comunicación verbal","No","Si","manual","medio","1-3 meses",2,"3-5","Bass","Si","con fluor","1000-1500","tamaño arveja ","enjuagar la pasta de dientes con agua","Si","ambos","Al menos 1 vez cada dos días","No",1998,16,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo",,"5-9","Si","Demostraciones prácticas","Si","Si",,
1,"9/8/2014 21:38:26","Chile","141E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Demostraciones","Si","Si","manual","medio","3 meses",3,"3-5","Bass","Si","con fluor","1000-1500","muy poco, poco","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","2 veces al día","Si",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","0-4","No","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","No","Si",,
1,"9/8/2014 23:27:04","Chile","207E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","Si","1-2 minutos","Demostraciones, Vídeos","No","Si","manual","medio","3 meses",2,3,"Bass","Si","con fluor","no recomendaría","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",,,,6,,"De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","10-19","Si","Experiencia con pacientes propios","Si","Si","falta de cooperacion de los pacientes",
1,"9/11/2014 12:47:35","Chile","116D","Dentista","cuando usted sienta que es necesario","ocasionalmente","Si","1-2 minutos","Demostraciones","No","Si","manual","medio","3 meses",3,"5 - 10","Bass","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","2-3 veces a la semana","Si",1995,19,,,,"De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","10-19","Si",,"Si","Si",,
1,"9/11/2014 16:30:35","Chile","108D","Dentista","cuando usted sienta que es necesario","ocasionalmente","Si","8 minutos","Demostraciones, Vídeos","No","Si","manual","medio","1-3 meses",3,"3-5","Bass","Si","con fluor",5000,"tamaño arveja ","recomendaría","Si","hilo dental","1 vez al día","Si",2007,7,,,,"De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","10-19","Si","Demostraciones prácticas, Experiencia con pacientes propios","Si","Si","Falta de experiencia",
1,"9/11/2014 16:34:56","Chile","109D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","1-2 minutos","Demostraciones","No","Si","manual","medio","1-3 meses","después de cada comida","3-5","Bass","Si","con fluor","no recomendaría","no recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","2-3 veces a la semana","No",2008,6,,,,"De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","10-19","Si","Demostraciones prácticas","Si","Si",,
1,"9/14/2014 16:39:55","Chile","210E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","Si","8 minutos","Demostraciones, Vídeos","No","Si","manual","no recomendaría","1-3 meses",3,"3-5","Bass","Si","con fluor","1000-1500","no recomendaría","escupir la pasta de dientes, pero no enjuagar","No","ambos","2-3 veces a la semana","No",,,,6,,"En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Experiencia con pacientes propios","Si","Si","Falta de experiencia, falta de compromiso del paciente",
1,"9/14/2014 16:43:36","Chile","211E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","8 minutos","Demostraciones","No","Si","manual","medio","3 meses",3,"3-5","Bass","Si","con fluor","no recomendaría","tamaño arveja ","no recomendaría","Si","ambos","1 vez a la semana","Si",,,,6,,"De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","10-19","Si","Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 16:46:56","Chile","213E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","3 meses",3,"3-5","Bass","Si","con fluor",5000,"tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","No","ambos","1 vez al día","No",,,,6,,"De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","0-4","Si","Experiencia con pacientes propios","Si","Si","Falta de experiencia, falta de cooperacion de los pacientes",
1,"9/14/2014 17:00:13","Chile","212E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","No","8 minutos","Demostraciones","No","Si","manual","medio","3 meses",3,"3-5","Bass","Si","con fluor","no recomendaría","no recomendaría","escupir la pasta de dientes, pero no enjuagar","No","ambos","2-3 veces a la semana","No",,,,6,,"De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","5-9","Si","Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","No","falta de cooperacion de los pacientes",
1,"9/14/2014 17:05:29","Chile","208E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones","No","Si","manual","no recomendaría","3 meses",3,"5 - 10","Bass","Si","con fluor",5000,"tamaño arveja ","no recomendaría","Si","hilo dental","1 vez al día","No",,,,6,,"De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","10-19","Si","Experiencia con pacientes propios","Si","No",,
1,"9/14/2014 17:08:01","Chile","215E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","Si","8 minutos","Comunicación verbal, Vídeos","No","Si","manual","medio","1-3 meses",3,"3-5","Bass","Si","no recomendaría","no recomendaría","no recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez a la semana","No",,,,6,,"De acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Experiencia con pacientes propios","Si","No",,
1,"9/14/2014 17:19:40","Chile","217E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","Si","8 minutos","Demostraciones","No","Si","manual","medio","1-3 meses",3,"3-5","Bass","Si","con fluor","1000-1500","no recomendaría","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","1 vez al día","Si",,,,6,,"De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 17:22:06","Chile","219E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","8 minutos","Demostraciones","No","Si","manual","medio","3 meses",3,"5 - 10","Bass","Si","con fluor",5000,"no recomendaría","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","no recomendaría","Si",,,,6,,"De acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","0-4","Si","Experiencia con pacientes propios","Si","Si","Falta de experiencia",
1,"9/14/2014 17:47:14","Chile","226E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","10 minutos o más","Comunicación verbal, Demostraciones, Vídeos","No","Si","manual","medio","3 meses",3,"3-5","Bass","Si","con fluor",5000,"tamaño arveja ","parcialmente","Si","ambos","1 vez al día","Si",,,,6,,"En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Experiencia con pacientes propios","Si","Si","Falta de experiencia, falta de compromiso del paciente",
1,"9/14/2014 17:50:19","Chile","225E","Estudiante","cuando usted sienta que es necesario","en la primera y última cita del plan de tratamiento","Si","8 minutos","Demostraciones","No","Si","manual","medio","1-3 meses","después de cada comida","3-5","Bass","Si","no recomendaría","1000-1500","no recomendaría","parcialmente","Si","hilo dental","2-3 veces a la semana","Si",,,,6,,"Muy en desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas, Experiencia con pacientes propios","Si","No",,
1,"9/14/2014 19:32:08","Chile","34D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","1-2 minutos","Comunicación verbal, Demostraciones","Si","Si","manual","pequeño","no recomendaría","después de cada comida",3,"Bass","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","No",2010,4,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas","Si","Si",,
